term,beta,se
const,7.744198572406303,1.970419584733292
age,0.0295917549523705,0.0038360336772053
albumin,-0.3795537064246156,0.0901840266373061
bilirubin,0.0651191281784482,0.0062279524792703
creatinine,0.127295982883612,0.023048955018206
sodium,0.0012504568416686,0.0070080318160795
platelet,-0.0035983809353879,0.0006390843222085
wbc,0.0369288557037743,0.0051302922453964
heart_rate,0.0193589074723307,0.0028741230971778
map,-0.0340110812806013,0.0043445332238715
resp_rate,0.0803234343375546,0.010976047589781
spo2,-0.1177543488421996,0.0172992605613581
male,0.0505563448779672,0.0917440887908112
miss_albumin,-0.1175653009551907,0.1020008123071573
miss_bilirubin,-0.0394755397566679,0.1421847776201047
